,objs,,,,smallEps,brownEps,prob
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.33,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.29,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.37,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.29,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.33,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.29,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.25,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.21,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.21,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.21,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.21,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.21,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.17,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.17,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.17,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.17,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.13,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.13,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.13,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.09,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.09,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.05,0.01,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.77,0.73,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.77,0.69,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.77,0.65,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.77,0.61,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.77,0.57,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.73,0.69,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.73,0.65,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.73,0.61,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.73,0.57,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.69,0.65,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.69,0.61,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.69,0.57,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.69,0.53,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.65,0.61,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.65,0.57,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.65,0.53,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.61,0.57,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.61,0.53,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.61,0.49,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.57,0.53,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.57,0.49,0.004504505
2,"[{""brown"":true",small:true},"{""brown"":false",small:true}],0.53,0.49,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.73,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.69,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.65,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.65,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.61,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.61,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.61,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.57,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.57,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.57,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.57,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.53,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.53,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.53,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.53,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.53,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.49,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.41,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.37,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.33,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.29,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.45,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.37,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.33,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.29,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.41,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.33,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.29,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.37,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.29,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.33,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.25,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.29,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.21,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.25,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.21,0.17,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.21,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.21,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.21,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.21,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.17,0.13,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.17,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.17,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.17,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.13,0.09,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.13,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.13,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.09,0.05,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.09,0.01,0.004504505
,"[{""brown"":true",small:false},"{""brown"":true",small:true}],0.05,0.01,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.77,0.73,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.77,0.69,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.77,0.65,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.77,0.61,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.77,0.57,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.73,0.69,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.73,0.65,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.73,0.61,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.73,0.57,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.69,0.65,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.69,0.61,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.69,0.57,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.69,0.53,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.65,0.61,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.65,0.57,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.65,0.53,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.61,0.57,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.61,0.53,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.61,0.49,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.57,0.53,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.57,0.49,0.004504505
,"[{""brown"":false",small:true},"{""brown"":true",small:true}],0.53,0.49,0.004504505
