header,x,class,ignore,
40,brief,dimension,,
42,long,dimension,,
46,fat,dimension,,
73,high,dimension,,
76,skinny,dimension,,
77,tall,dimension,,
78,small,dimension,,
88,dinky,dimension,,
91,large,dimension,,
106,tiny,dimension,,
120,wide,dimension,,
122,airy,dimension,,
147,mini,dimension,,
153,flat,dimension,,
159,open,dimension,,
190,roomy,dimension,,
196,narrow,dimension,,
197,humongous,dimension,,
253,biggest,dimension,,
262,huge,dimension,,
275,thick,dimension,,
279,low,dimension,,
284,deep,dimension,,
285,tiniest,dimension,,
334,slight,dimension,,
346,thin,dimension,,
10,blue,color,,
55,white,color,,
75,red,color,,
121,blonde,color,,
123,black,color,,
125,purple,color,,
142,green,color,,
191,yellow,color,,
292,golden,color,,
41,old,age,,
114,dead,age,,
119,new,age,,
150,classical,age,,
151,traditional,age,,
165,junior,age,,
252,young,age,,
269,early,age,,
294,historic,age,,
311,senior,age,,
315,old-time,age,,
2,specific,,X,
15,spare,,X,
19,same,,X,
25,monthly,temporal,,
27,different,,X,
38,nightly,temporal,,
50,simplified,,X,
57,waiting,,X,X
61,mixed,,X,
63,bitty,,X,X
70,sweatless,,X,X
81,single,,X,X
87,east,,X,X
90,hyper,,X,X
101,individual,,X,
102,instinctual,,X,X
103,philosophical,,X,X
104,designated,,X,
109,looking,,X,X
110,south,,X,X
124,overcrowding,,X,X
131,additional,,X,
132,gifted,,X,X
136,middle,,X,
143,immediate,,X,
157,weekly,temporal,,
158,more,,X,X
169,sized,,X,X
170,whole,,X,
171,frying,,X,X
178,southerly,,X,X
179,unique,,X,
189,front,,X,
195,central,,X,
204,potential,,X,
208,obvious,,X,
212,retained,,X,X
214,last,,X,
217,oddball,,X,
218,total,,X,X
229,exact,,X,X
232,similar,,X,
234,other,,X,X
235,original,,X,
238,such,,X,X
239,navy,,X,X
244,much,,X,X
249,own,,X,X
259,certain,,X,
267,varied,,X,X
278,previous,,X,
290,north,,X,X
298,present,,X,
300,perennial,,X,X
301,overall,,X,X
302,enough,,X,X
306,second,,X,
309,upper,,X,X
317,rinky,,X,X
320,larger,,X,X
324,closest,location,,
325,prevailing,,X,
326,every,,X,X
328,prettiest,,X,X
329,extra,,X,
330,higher,,X,X
335,token,,X,
341,absolute,,X,X
342,older,,X,X
337,FALSE,,X,X
340,TRUE,,X,X
3,everyday,temporal,,
6,financial,,,
13,medical,,,
17,postgraduate,temporal,,
18,personal,,,
20,big,dimension,,
21,compensatory,,,
22,overhead,location,,
29,hopeless,human,,
31,electrical,,,
32,natural,,,
33,permanent,,X,
34,foreign,nationality,,
36,military,,,
37,local,location,,
39,encapsulated,,,
43,homemade,material,,
48,ethnic,,,
53,clean,physical,,
56,strong,physical,,
62,wayward,location,,
65,public,,,
66,religious,,,
71,political,,,
79,rich,human,,
80,human,,,
82,lavish,value,,
83,oral,,,
84,internal,location,,
85,female,,,
94,detailed,value,,
95,historical,temporal,,
97,ethical,,,
98,metropolitan,location,,
99,major,,X,
105,simple,value,,
107,rival,,X,
108,painful,physical,,
111,cardiovascular,,,
112,knobby,physical,,
113,faceless,,,
128,educational,,,
135,parochial,,,
137,civil,,,
138,mental,,,
139,liberal,,,
140,practical,value,,
144,economic,,,
148,electromagnetic,material,,
160,inexpensive,value,,
162,portable,,,
168,powerful,physical,,
173,tech,,,
182,agricultural,,,
183,democratic,,,
185,canned,material,,
188,subtle,value,,
193,sunny,physical,,
194,exciting,value,,
200,structural,material,,
202,logical,,,
203,weak,physical,,
205,positive,value,,
206,uneven,,,
207,investigative,,,
209,safe,value,,
210,criminal,,,
211,procedural,,,
213,wanton,,,
216,legal,,,
220,automated,,,
225,private,,,
226,productive,,,
227,scientific,,,
228,gubernatorial,,,
231,random,,X,
242,progressive,,,
243,habitual,,,
246,naval,,,
247,standardized,,X,
248,current,temporal,,
250,minimum,,,
256,mandatory,,,
257,actual,,X,
258,native,nationality,,
260,daily,temporal,,
261,migrant,nationality,,
266,backward,,,
271,effortless,value,,
273,regular,value,,
276,manual,,,
280,common,value,,
282,redeeming,,,
295,unknown,,,
296,main,,,
313,real,,,
314,orchestral,,,
316,unfinished,,,
321,rare,value,,
322,intimate,,,
327,average,,,
339,domestic,,,
344,outlying,,,
345,statistical,,,
347,tough,value,,
348,complete,,X,
349,long-term,,,
